"","date","age_group","J12_J18","acm_noresp_nodiar","E40_E46_prim","E70_E90_prim","A30_49_prim","C00_D48_prim","K00_K99_prim","V01_X59_prim"
"618","2012-06-01","ec 2-59m A",28,122,6,2,4,7,5,17
"619","2012-07-01","ec 2-59m A",30,142,3,2,4,10,6,27
"620","2012-08-01","ec 2-59m A",34,125,2,2,1,8,1,24
"621","2012-09-01","ec 2-59m A",15,111,1,1,2,8,1,20
"622","2012-10-01","ec 2-59m A",25,137,4,1,2,6,3,38
"623","2012-11-01","ec 2-59m A",28,108,0,1,2,10,1,28
"624","2012-12-01","ec 2-59m A",18,112,4,5,0,5,2,24
"625","2013-01-01","ec 2-59m A",26,154,5,3,2,11,3,27
"626","2013-02-01","ec 2-59m A",20,125,6,1,2,11,2,27
"627","2013-03-01","ec 2-59m A",19,140,6,1,1,9,1,27
"628","2013-04-01","ec 2-59m A",27,141,2,1,2,7,4,34
"629","2013-05-01","ec 2-59m A",21,129,3,3,2,9,0,22
"630","2013-06-01","ec 2-59m A",26,144,3,1,3,6,3,29
"631","2013-07-01","ec 2-59m A",30,144,4,3,3,7,2,28
"632","2013-08-01","ec 2-59m A",31,148,1,0,2,14,2,26
"633","2013-09-01","ec 2-59m A",30,132,1,4,1,10,7,33
"634","2013-10-01","ec 2-59m A",19,166,3,1,1,9,3,34
"635","2013-11-01","ec 2-59m A",21,123,2,0,1,4,7,25
"636","2013-12-01","ec 2-59m A",15,145,3,0,1,12,6,23
"637","2014-01-01","ec 2-59m A",30,131,4,2,3,12,3,31
"638","2014-02-01","ec 2-59m A",15,126,5,1,3,15,1,20
"639","2014-03-01","ec 2-59m A",29,117,2,1,1,12,2,32
"640","2014-04-01","ec 2-59m A",17,132,6,1,3,7,3,35
"641","2014-05-01","ec 2-59m A",30,153,9,4,4,7,6,25
"642","2014-06-01","ec 2-59m A",29,114,2,2,2,13,2,28
"643","2014-07-01","ec 2-59m A",25,110,3,0,2,8,2,21
"644","2014-08-01","ec 2-59m A",29,122,4,1,3,9,2,32
"645","2014-09-01","ec 2-59m A",26,124,3,0,5,8,5,21
"646","2014-10-01","ec 2-59m A",16,102,4,3,1,10,3,20
"647","2014-11-01","ec 2-59m A",19,100,4,2,0,4,4,21
"648","2014-12-01","ec 2-59m A",14,117,4,2,2,7,3,21
"649","2015-01-01","ec 2-59m A",30,127,1,3,2,12,6,33
"650","2015-02-01","ec 2-59m A",22,128,3,2,1,7,8,23
"651","2015-03-01","ec 2-59m A",20,112,2,2,0,9,3,30
"652","2015-04-01","ec 2-59m A",23,107,1,3,2,10,2,26
"653","2015-05-01","ec 2-59m A",25,135,4,2,3,10,3,31
"654","2015-06-01","ec 2-59m A",19,130,2,2,2,9,2,23
"655","2015-07-01","ec 2-59m A",23,122,0,1,2,5,4,32
"656","2015-08-01","ec 2-59m A",18,108,4,1,1,10,5,21
"657","2015-09-01","ec 2-59m A",15,105,2,1,0,7,4,18
"658","2015-10-01","ec 2-59m A",13,131,3,0,1,12,1,31
"659","2015-11-01","ec 2-59m A",16,127,5,4,0,8,8,14
"660","2015-12-01","ec 2-59m A",18,130,6,1,2,7,4,37
"661","2016-01-01","ec 2-59m A",24,132,4,1,1,6,3,37
"662","2016-02-01","ec 2-59m A",20,122,4,3,2,11,3,28
"663","2016-03-01","ec 2-59m A",32,116,6,1,3,9,1,25
"664","2016-04-01","ec 2-59m A",20,158,7,2,2,7,2,65
"665","2016-05-01","ec 2-59m A",22,117,4,1,1,8,2,22
"666","2016-06-01","ec 2-59m A",16,141,5,0,1,7,3,32
"667","2016-07-01","ec 2-59m A",16,135,5,2,2,7,5,29
"668","2016-08-01","ec 2-59m A",14,97,3,0,1,7,1,25
"669","2016-09-01","ec 2-59m A",19,125,2,0,1,5,9,34
"670","2016-10-01","ec 2-59m A",26,119,1,1,1,9,1,32
"671","2016-11-01","ec 2-59m A",14,115,2,0,2,13,1,28
"672","2016-12-01","ec 2-59m A",13,99,2,3,0,12,4,19
