"","date","age_group","J12_J18","acm_noresp_nodiar","E40_E46_prim","E70_E90_prim","A30_49_prim","C00_D48_prim","K00_K99_prim","V01_X59_prim"
"1383","2012-03-01","pr 2-59m A",46,173,3,1,21,10,9,42
"1384","2012-04-01","pr 2-59m A",42,159,4,0,10,13,10,38
"1385","2012-05-01","pr 2-59m A",54,156,4,2,10,11,11,52
"1386","2012-06-01","pr 2-59m A",40,142,1,3,9,18,5,42
"1387","2012-07-01","pr 2-59m A",57,156,2,0,14,11,7,33
"1388","2012-08-01","pr 2-59m A",48,153,3,1,13,11,8,44
"1389","2012-09-01","pr 2-59m A",40,175,0,2,11,16,9,55
"1390","2012-10-01","pr 2-59m A",39,128,2,0,17,7,7,35
"1391","2012-11-01","pr 2-59m A",36,152,3,1,17,9,7,37
"1392","2012-12-01","pr 2-59m A",44,150,5,0,13,15,6,34
"1393","2013-01-01","pr 2-59m A",48,174,0,1,16,10,12,57
"1394","2013-02-01","pr 2-59m A",31,159,2,0,19,9,4,49
"1395","2013-03-01","pr 2-59m A",34,186,3,2,28,9,12,62
"1396","2013-04-01","pr 2-59m A",41,134,2,0,13,8,4,44
"1397","2013-05-01","pr 2-59m A",55,189,4,0,25,9,5,59
"1398","2013-06-01","pr 2-59m A",44,165,2,1,18,9,7,56
"1399","2013-07-01","pr 2-59m A",53,160,1,1,19,15,4,62
"1400","2013-08-01","pr 2-59m A",47,162,4,1,19,7,4,55
"1401","2013-09-01","pr 2-59m A",31,186,5,2,23,10,5,62
"1402","2013-10-01","pr 2-59m A",41,125,3,0,13,9,6,42
"1403","2013-11-01","pr 2-59m A",41,136,0,0,14,9,4,47
"1404","2013-12-01","pr 2-59m A",32,122,1,0,15,15,4,32
"1405","2014-01-01","pr 2-59m A",60,171,6,0,1,8,4,80
"1406","2014-02-01","pr 2-59m A",37,124,4,0,0,11,5,54
"1407","2014-03-01","pr 2-59m A",41,145,2,0,0,16,5,57
"1408","2014-04-01","pr 2-59m A",52,145,7,0,0,17,6,49
"1409","2014-05-01","pr 2-59m A",50,147,4,1,3,7,4,66
"1410","2014-06-01","pr 2-59m A",71,134,3,0,0,10,4,66
"1411","2014-07-01","pr 2-59m A",67,156,4,0,1,6,3,68
"1412","2014-08-01","pr 2-59m A",54,159,4,0,1,13,3,77
"1413","2014-09-01","pr 2-59m A",52,158,3,0,0,11,4,79
"1414","2014-10-01","pr 2-59m A",49,152,3,0,2,10,2,78
"1415","2014-11-01","pr 2-59m A",57,143,6,0,1,15,1,73
"1416","2014-12-01","pr 2-59m A",43,137,4,1,1,15,2,66
